Date,Time,Camera,Detection,Confidence
2026-06-26,15:13:52,Floor-1 Laptop-cam0,fire,0.50
2026-06-26,15:13:54,Floor-1 Laptop-cam0,fire,0.60
2026-06-26,15:13:55,Floor-1 Laptop-cam0,fire,0.60
2026-06-26,15:13:56,Floor-1 Laptop-cam0,fire,0.63
2026-06-26,15:13:57,Floor-1 Laptop-cam0,fire,0.68
2026-06-26,15:13:58,Floor-1 Laptop-cam0,fire,0.52
2026-06-26,15:13:59,Floor-1 Laptop-cam0,fire,0.70
2026-06-26,15:14:00,Floor-1 Laptop-cam0,fire,0.83
2026-06-26,15:14:01,Floor-1 Laptop-cam0,fire,0.79
2026-06-26,15:14:02,Floor-1 Laptop-cam0,fire,0.68
2026-06-26,15:14:03,Floor-1 Laptop-cam0,fire,0.71
2026-06-26,15:14:04,Floor-1 Laptop-cam0,fire,0.56
2026-06-26,15:15:20,Floor-1 Laptop-cam0,fire,0.67
2026-06-26,15:15:21,Floor-1 Laptop-cam0,fire,0.56
2026-06-26,15:15:22,Floor-1 Laptop-cam0,fire,0.59
2026-06-26,15:15:23,Floor-1 Laptop-cam0,fire,0.34
2026-06-26,15:15:24,Floor-1 Laptop-cam0,fire,0.26
2026-06-26,15:15:25,Floor-1 Laptop-cam0,fire,0.42
2026-06-26,15:15:26,Floor-1 Laptop-cam0,fire,0.26
2026-06-26,15:15:27,Floor-1 Laptop-cam0,fire,0.53
2026-06-26,15:15:28,Floor-1 Laptop-cam0,fire,0.42
2026-06-26,15:15:29,Floor-1 Laptop-cam0,fire,0.27
2026-06-26,15:15:35,Floor-1 Laptop-cam0,fire,0.74
2026-06-26,15:15:36,Floor-1 Laptop-cam0,fire,0.52
2026-06-26,15:15:37,Floor-1 Laptop-cam0,fire,0.44
2026-06-26,15:15:38,Floor-1 Laptop-cam0,fire,0.50
2026-06-26,15:15:39,Floor-1 Laptop-cam0,fire,0.48
2026-06-26,15:15:40,Floor-1 Laptop-cam0,fire,0.38
2026-06-26,15:15:41,Floor-1 Laptop-cam0,fire,0.69
2026-06-26,15:15:42,Floor-1 Laptop-cam0,fire,0.45
2026-06-26,15:15:43,Floor-1 Laptop-cam0,fire,0.47
2026-06-26,15:15:44,Floor-1 Laptop-cam0,fire,0.43
2026-06-26,15:22:19,Floor-1 Laptop-cam0,fire,0.39
